,title,company,location,summary,mean_salary
1319,lead data scientist,Computappoint Ltd.,London EC4R,development of new data science products and solutions.management of large structures of data and carrying out.exposure and experience to product development.,110000.0
1324,head of theme for data science,Medical Research Council,London,"we have a broad interpretation of ‘data science’, including, but not limited to, research-focussed and relevant data analytics, data science engineering, data…",61227.0
1328,nlp engineer - cyber scale up - full remote,Propel,London•Remote,high growth and multinational ai cyber security business is growing its data science guild and is in the look for strong nlp data scientists to join the team.,87500.0
1341,head of customer data science,Harnham,London•Remote,"proven experience working with customer data & personalisation.analyse customer data focused on building propensity models, customer churn models and…",105000.0
1348,french speaking data scientist - london - £110k + benefits!,Lawrence Harvey,London,their product is an automated machine learning platform and can be cloud or on-prem based allowing organizations to produce accurate data-based predictions &…,105000.0
1368,"machine learning engineer - graduate opportunity, paid to tr...",Kubrick Group,London•Temporarily Remote,strong interest in data and technology.our machine learning engineers apply data science algorithms to solve practical real-world problems using structured and…,36000.0
1385,director data science,MBN Recruitment Solutions,London•Remote,"deep expertise and experience in a data focused role, as a technical lead for building an delivering data solutions.skilled in python/ r/ git/ gcp.",150000.0
1396,head of data science - advisory - london,Morgan McKinley,London,experience running projects / engagements and providing advice for how to implement data science solutions.in this role you will lead from the front in regard…,127500.0
1414,machine learning lead,Consortia,London,someone who can bridge between ml & the business to make high-level decisions and shape the roadmap.someone who can be an effective leader when it comes to…,87500.0
1429,senior front end developer - data science software - fully r...,Propel,London•Remote,they expect you to bring your skill set and experience to further develop the product by owning the full client side experience.,90000.0
1435,digital product analytics lead,Salt Recruitment,Greater London•Remote,"this brand new, global role is being hired to lead, shape and grow customer and product analytics for this niche data vendor.£75k – £90k plus 10% bonus & bens.",80000.0
1444,experienced it recruitment consultant - data science,NP Group,London EC1Y 8AF,"be a consultant - responsible for full 360 degree recruitment activity, with some support from a resourcing team.be a salesperson - generate new business.",37500.0
1446,head of data science - london - (cutting edge nlp!!),Lawrence Harvey,London,extensive skills in data mining/data modelling in data driven organisations.as head of data science you will play a crucial role in a leading a team of data…,125000.0
1533,data scientist,Nigel Wright Group,Newcastle and Wear•Remote,the company nigel wright is pleased to be working closely with an established software house based in newcastle who are looking to hire a data scientist.…,50000.0
1537,data scientist,Nigel Frank International Limited,Newcastle upon Newcastle+3 locations,job description: i am working with a newcastle-based client who is looking to expand their team by adding a data scientist who has experience with sql server…,50000.0
1540,data scientist - newcastle - gbp55k - azure - pyspark,Nigel Frank International Limited,Newcastle upon Newcastle,data scientist - newcastle - £55k - azure - pyspark a client of mine based in newcastle are looking to add to their team with a data scientist who has…,50000.0
1542,assistant professor in computer science (ai & human systems)...,Newcastle University,Newcastle,"assistant professor in computer science (ai & human systems) (comp22-5) (job number: 21001481) department of computer science grade 7/8: - £34,304 - £50,296…",42300.0
2026,senior lecturer in data science,The University of Manchester,Manchester M13 9PL,this post is part of a larger recruitment of ten data science posts during 2021-22 to expand the existing vibrant staff team.,61452.5
2032,head of data science – manchester - £70-120k,Consult RPM,Manchester,"as an experienced head of data science, you will be an expert in machine learning and will have a passion for data science aLondon all areas of data science to…",100000.0
2037,senior deep learning / ai engineer,Warman O'Brien,Manchester•Remote,senior deep learning/ ai engineer - market leading biotech – remote*.what is it like to work here?*.what will you be doing?*.what you’ll get in return: *.,100000.0
2561,data science manager,ADLIB,Bristol•Remote,"from the start you’ll be responsible for managing a team looking driving the culture of the company, ensuring the data architecture and systems are in order as…",87500.0
2612,defence data scientist,Metrica Recruitment,Bristol,the company this highly successful strategy consultancy specialise in the government and defence sectors. they have significant innovation funding from the…,42500.0
2613,data science analyst,Sopra Steria,Cardiff NP10 8FZ,"where is your career in data taking you? are you working in a dedicated data science team, and are you moving in the direction you want? look what will happen…",32000.0
2617,research associate in machine learning (fixed-term post),University of Bristol,Bristol,the department of computer science wish to appoint a research associate for a fixed-term period until july 2022. new artificial intelligence (ai) approaches…,34304.0
2618,"software engineer (python/c++), ai/machine learning - bristo...",Linux Recruit,Bristol,"artificial intelligence, or simply 'ai', is one of the biggest tech buzz words of the last couple years. it seems to pop up in almost every other job advert…",62500.0
2619,senior data scientist / engineer,Frontier Resourcing,Bristol,we are seeking a senior data scientist who is confident to take the initiative and deliver work independently. you will be able to provide evidence of having…,55000.0
2620,"software engineer (c++/python), ai/machine learning - bristo...",Linux Recruit,Bristol,"artificial intelligence, or simply 'ai', is one of the biggest tech buzz words of the last couple years. it seems to pop up in almost every other job advert…",57500.0
2621,data science manager,ADLIB,Bristol•Remote,join a large data science team working on a wide variety of business problems. lead on projects aLondon multiple departments. help mentor msc and phd students…,87500.0
2622,senior machine learning engineer,IC Resources,Bristol,"salary: £70-85,000, hybrid working, sponsorship and more! job type: permanent senior machine learning engineer this senior machine learning engineer vacancy…",77500.0
2623,research associate/ senior research associate or research fe...,University of Bristol,Bristol BS8 1QU,"the role the hpn research group, which is part of the smart internet lab and led by professor reza nejabati, specialises in the application of advanced…",36445.5
2731,data scientist,Datasource,Southampton,"techniques and toolkits for data cleansing, data preparation, data processing, fusion and analysis.their data analytics work encompasses all types of data,…",55000.0
2733,data scientist,Alliants,Southampton SO31•Remote,"rapid exploratory analysis of large data sets.experience in working with large complex data sets.prepare data for predictive, prescriptive and descriptive…",45000.0
2235,ai/machine learning specialist,Harnham,Birmingham,"ai/machine learning specialist £50,000 - £60,000 + benefits birmingham (hybrid) the company this ai/machine learning specialist role operates within the…",55000.0
2237,digital media analytics manager,Harnham,Birmingham,"digital media analytics manager birmingham up to £68,000 + competitive bonus and benefits the company be part of a global organisation that will help you…",59000.0
2238,python backend engineer - machine learning,Eligo Recruitment Ltd,Birmingham•Remote,"location birmingham, west Birmingham sector: technology job type: permanent salary: £50000 - £70000 per annum + pension, shares, bonus contact: liam…",60000.0
2240,ml engineer,Harnham,Birmingham,"ml engineer birmingham up to £65,000 + competitive bonus & benefits the company be part of a global organisation that will help you develop your career…",55000.0
2241,ai & ml specialist,Harnham,Birmingham,"ai & ml specialist birmingham working options in bristol & london offices. up to £65,000 + competitive bonus & benefits the company work with one of the…",60000.0
2244,senior machine learning engineer,Harnham,Birmingham,senior machine learning data engineer £65000 - £75000 birmingham this is a great opportunity for someone from a data science background to join a growing…,70000.0
2246,ml and ai engineer,Nigel Frank International Limited,Birmingham•Remote,"machine learning and artificial intelligence engineer are you ml and ai specialist passionate about cloud native data services, looking for a new opportunity…",60000.0
2248,machine learning engineer,Harnham,Birmingham,machine learning data engineer £65000 - £75000 birmingham this is a great opportunity for someone from a data science background to join a growing data team…,70000.0
2966,machine learning engineer,Robin AI,London,"our current product uses machine learning to read and comprehend written contracts, assesses whether they adhere to our customers’ preferred positions, and then…",65000.0
2975,risk data scientist,Harnham,London,find data patterns to predict customer behaviour.experience on a variety of data science projects.ability to exploit insights from large sql data sets.,45000.0
2983,data scientist,Forsyth Barnes,London,developing data enrichment requirements for pricing and collaborating with other teams on execution.experienced developing data-driven price and revenue…,70000.0
2990,postdoctoral training fellow in data science (id:53),The Institute of Cancer Research,London SM2 5NG,strong analytical skills are required in order to perform integrated analysis and visualisation of complex multi-omic data.hours per week: 35 (full time).,38989.5
3008,analytics manager,kdr Recruitment,London,"this role will have a heavy focus on your ability to build lasting relationships with internal teams, clients, stakeholders, and of course – your own team.",62500.0
3023,jr. big data engineer,Information Tech Consultants,London,4-6 hours a day of applied data science classroom training.at information tech consultants ltd (itc) we value professionals with degrees in computer science or…,30659.0
3034,ai/machine learning specialist,Harnham,London,"provide technical leadership on data ingestion from a variety of sources e.g. quantitative, qualitative for analytics, and insight.",55000.0
3039,head of customer data science,Harnham,London,"experience of using data to personalise customer experience.work closely with other data teams to share knowledge, evaluate opportunities and pro-actively…",110000.0
3063,"data manager – data analytics, commodities, energy market da...",Cornwaliis Elt,London,experience of managing a data focussed team and a strong track record and demonstrable interest in analysing data.,80000.0
3064,data science manager - london - gbp90k - azure - pyspark,Nigel Frank International Limited,London,"building data pipelines using python, pyspark and databricks in ms azure.ad hoc data governance, assurance, and quality tasks.",85000.0
3069,vp analytics & data science (senior manager),Salt Recruitment,Greater London,background in advanced analytics and data science from consulting or blue chip background.confident and strong presentation skills; ability to bring data to…,90000.0
3071,senior/lead data scientist - customer,Harnham,London,"up to £80,000 + benefits.as a senior/lead data scientist, you can expect to provide clear leadership, direction, coaching, mentoring and support to your team.",65000.0
3072,senior/lead data scientist,Harnham,London,"up to £80,000 + benefits.as a senior/lead data scientist, you can expect to provide clear leadership, direction, coaching, mentoring and support to your team.",65000.0
3074,compliance analytics manager,Harnham,London,drive the data agenda within financial crime.a leading international bank is looking for a strong data-orientated compliance manager to join their team and…,66000.0
3077,data science manager,ADLIB,London•Remote,"from the start you’ll be responsible for managing a team looking driving the culture of the company, ensuring the data architecture and systems are in order as…",87500.0
3079,machine learning operations engineer,Harnham,London,looking for highly technical data scientists and engineers who understand all aspects of the business.the company's software platform uses machine learning…,50000.0
3092,"head of engineering (devops, cloud, data analytics, machine...",Linux Recruit,London,"head of engineering (devops, cloud, data analytics, machine learning).building a start up from scratch is exciting.",110000.0
3103,quantitative analyst - fixed income,Cornwaliis Elt,London,"this is an exciting opportunity for a quantitative analyst to join a start-up data connectivity firm, providing data solutions to their platforms.",95000.0
3110,senior machine learning software engineer,Oho Group,London•Remote,"3+ years commercial experience working as a python software engineer.exposure to or familiarity with machine learning algorithms (classification, regression).",70000.0
3112,deep learning engineer,IC Resources,London,r&d of deep learning architectures.working alongside doctorates with excellent publication histories and contributing to publications.,72500.0
3806,behavioral data scientist,Harnham,Cardiff•Remote,you will collaborate with fellow data scientists and other teams aLondon the business to evolve data science best practices and build machine learning algorithms…,55000.0
1595,director of analytics,Harnham,London,incubate data science capabilities within the department.supporting data-based decision making aLondon the company.advanced knowledge of python or r.,82500.0
1602,data scientist (heo),UK Health Security Agency,London SE1,"you share data science practices, promoting professional development and use of best practice aLondon all capabilities identified for data scientists.",32100.0
1605,quant researcher/data scientist,Oho Group,London,"the appropriate candidate will hold a bachelors and masters degree in mathematics, physics, statistics, machine learning or data science, and ideally a phd…",112500.0
1611,data scientist,Karakuri Ltd,London W6 8JF,a solid foundation of relevant industry experience relating to data analysis and data visualisation.data wrangling and data visualisation.,42500.0
1617,senior data scientist,Hurren and Hope,London,aws not required but would boost an application.,80000.0
1623,senior data scientist (space and range),Holland & Barrett,London•Remote,"develop monitoring for jobs and data quality.spark, aws lambda, other data processing solutions.you have deep experience with many data engineering technology…",80000.0
1636,principal data scientist,MBN Recruitment Solutions,London,"you’ll be able to identify opportunities in data, have experience reviewing code for juniors colleagues, worked with data engineering, machine learning and non…",120000.0
1645,data scientist,MBN Recruitment Solutions,London,"you’ll be able to identify opportunities in data, worked with data engineering, machine learning and non-technical stakeholders.",90000.5
1654,data scientist,FACEIT,London,"an interest in data engineering and in working with unstructured data;collaborate with data engineers to build data and model pipelines, and to manage the…",37500.0
1660,data scientist - nlp,Lorien,London,"proficient with programming languages used by data scientists like python, r, scala.conceptualising necessary data governance models to support the technical…",52500.0
1666,data science consultant - hiring aLondon all levels!,Harnham,London,"technically strong when handling data.this role will allow you to improve your analytical skills; building models, improving modelling for architecture, and…",75000.0
1714,senior data scientist,Eames Consulting,London•Remote,"extensive modelling and delivering data science solutions in productions.my client, a data driven insurtech, is looking for a data scientist to join their…",100000.0
1731,senior machine learning engineer | london,Reqiva Ltd,London,experience with pyspark and working with big data.* experience working with geospatial data will be a bonus**.other model types are a bonus!,70000.0
1738,jr. machine learning implementation engineers,Information Tech Consultants,London,"information tech consultants ltd (itc) is a london-based mobile app development consultancy, specializing in android, ios and data scientist solutions.",30596.0
1739,analytics engineer,Harnham,London,work with stakeholders to understand requirements and design data models.build a single source of truth data warehouse in redshift.,67500.0
1740,data scientist,MarketFinance,United Kingdom•Remote,"experience with modern data tools and big data technologies (e.g. azure).experience using python, including the use of data manipulation, cleansing and data…",45000.0
1743,senior data scientist,CatchFish,London,a minimum of 3 years experience in a data science position.natural language processing (nlp) - strong experience.,67500.0
1761,machine learning engineering consultant,Kubrick Group,London•Remote,strong interest in data and technology.our machine learning engineers apply data science algorithms to solve practical real-world problems using structured and…,36000.0
1766,principal machine learning engineer,Harnham,London•Remote,solving business problems using high volumes of data.working with masses of both unstructured and structured data.data analysis and management of big data.,120000.0
1778,quantitative analyst - fixed income,Cornwaliis Elt,London,"in this role you will be providing insight into their data, finding signals to improve their data quality, therefore enhancing their platform.",95000.0
1794,machine learning engineer ai,Argo Recruitment Services Limited,London,whilst continuing to strive forward within their field my client is looking to bring on board some talented machine learning engineers working with c++ and…,67500.0
1796,senior analytics engineer,Harnham,London,"ensure data quality, data security, data privacy and wider analytics engineering standards remain high.providing bespoke data analysis as requested.",70000.0
1804,senior machine learning engineer,Harnham,London,"they are looking for an experienced machine learning engineer to work with a wide range of data focusing on credit risk, marketing, and customer operations.",82500.0
1355,senior data scientist,Optimal,London,develop predictive models of crops from first principles and historic data.find new ways to present and examine data to help growers make better decisions.,82500.0
1368,senior data scientist,Harnham,London,work with large scale data to build machine learning models and solve problems for the company.work on exciting and varied projects with a focus on geospatial…,72500.0
1395,machine learning lead,Consortia,London,consortia are excited to partner with one of the leading ai-driven start-ups in their search for a machine learning team lead who will be part of the senior…,87500.0
1404,machine learning engineer,Senitor Recruitment,London•Remote,machine learning engineer - deep learning - python - ci/cd - tensorflow - up to £75k fully remote.we are looking for a talented machine learning engineers to…,70000.0
1430,data analytics- senior manager/director,MBN Recruitment Solutions,London,"the role will involve working aLondon the company to encourage the adoption of data analytics, developing new and existing client and senior internal stakeholder…",75000.5
1457,artificial intelligence and machine learning engineer,Vector Recruitment Limited,Hertfordshire,a brand new opportunity for an ambitious artificial intelligence / machine learning engineer ( physicist / mathematician / computer scientist / software…,65000.0
1458,head of machine learning and platforms,Harnham,London,"head of machine learning and platforms.ai-powered intelligence platform and consulting service.up to £120,000 + bonus + benefits.",105000.0
1460,"data manager – data analytics, commodities, energy market da...",Cornwaliis Elt,London,experience of managing a data focussed team and a strong track record and demonstrable interest in analysing data.salary : £75000 - £85000 per annum.,80000.0
1461,deep learning engineer - vision,V7,London,"your goal is to bring paper-stage research to life, powering the workflow automation behind self-driving cars, next-generation medical scanners, and robots are…",85000.0
1500,senior manager - supply chain analytics and data science,Zapp,London,managing a team of analysts and data scientists.visualise data and build reports that are accessible to diverse audiences and facilitate data driven decision…,72500.0
1510,machine learning and ai engineer,Nigel Frank International Limited,London,"create and utilise algorithms and models to mine big data stores, perform data and error analysis to improve models, and clean and validate data for uniformity…",52500.0
1,data protection analyst,Dogs Trust,London,"to be successful in this role you will have experience in data mapping, creating a record of processing activities (ropa), promoting a data protection culture,…",40000.0
2,data analyst,Fast Data Analytics and Security LTD,London EC1R 5HL•Temporarily Remote,work with data scientists to build insights based on the data on hand and theme of the study.build effective and visually rich presentation to represent data…,27650.5
7,analyst,FMA,London,ensure data is in a format which is manageable and useful;conduct thorough data analysis and interpretation with rigour and drive to uncover the insights that…,28500.0
9,information analyst,OPEN DOOR YOUNG PEOPLE'S CONSULTATION SERVICE,London N8 8PL•Remote,monitoring & evaluation through data analysis is vital for:responsible for the data integrity and quality/compliance of the core informatics systems.,29000.0
11,junior analyst,CriterionCapital,London SW1Y 6HD,"collation and formatting of disparate data.knowledge of excel with excellent attention to detail and problem-solving ability, as well as a working knowledge of…",26000.0
12,data analyst,SquareMileConsulting,London WC2E 9LY•Temporarily Remote,perhaps an analyst or developer wanting to learn about big data ai and cyber.develop ideas on how data can be used and when an application of data is…,44011.0
14,data analyst h/f,Dataworks,London•Remote,clean and sort data in order to make it usable.acquire and sort data from a variety of primary and secondary sources and maintain internal databases.,45000.0
18,data analyst,Decision Architects,London•Remote,experience of working with survey data.with a background in statistics and experienced in the practical use of data and modelling techniques to solve real…,24750.0
21,data analyst,Rise Technical Recruitment Limited,London,"you will display data on both google sheets and sugarcrm, helping marketing, sales, and management make better business decisions.",37500.0
23,data analyst,London Borough of Camden,London,you will also be required to support with data returns for national programmes to the relevant government departments.,34033.0
24,data management analyst (entry-level role),Incubeta,London,"an analytical mind who has a real passion for data who can work with large data sets and manipulate, interpret, and explain it.",22000.0
26,business analyst,Wandle Housing Association Ltd,London SE1 9BB,analyse data to support requirements for projects.at least 3 years business analyst experience in a similar role.facilitate a successful release handover.,42500.0
28,research data analyst,St. George's University of London,London,a sound understanding and knowledge of data protection legislation and the ability to handle sensitive data.demonstrative knowledge of working with statistical…,35343.0
32,research associate in data analytics,King's College London,London,to collect and analyse service utilisation data from multiple nhs settings (e.g. data around admissions or transfers).care or management of resources.,41517.0
34,finance analyst,Robert Half,London,ensure integrity of the balance sheet using data analysis techniques.ensure integrity of the monthly/forecast/budget figures using data analysis techniques.,42500.0
36,data analyst,Hyperloop Solutions,West London•Remote,"experience using data to generate business insights, analysis and improvements.experience using data visualisation tools such as tableau and powerbi, ideally…",32500.0
38,analyst,Nesta,London•Remote,"visual communication skills (e.g. advanced powerpoint, data visualisation).you should be familiar with quantitative methods, comfortable working with data and…",36500.0
39,data analyst,Lanistar,London W6 9NA,acquire data from primary or secondary data sources and maintain databases/data systems.acquiring data from primary or secondary data sources and maintaining…,25151.5
41,business analyst degree apprentice scheme - level 6,BBC,London,"want to work in a data driven department, for example in business intelligence, data assurance, data quality, commercial, technology services.",15074.0
44,data analyst,Boston Hale,London,"the successful candidate will be liaising with colleagues and stakeholders to define data goals, and ensure the right targeted data is delivered.",32500.0
48,data and research analyst - stop the traffik,Oasis Charitable Trust,London SE1 7QP•Temporarily Remote,"1 year fixed term contract*.full-time (40 hours per week inc breaks)*.£24,007 per annum **(inc. london allowance) *.job types: full-time, fixed term.",24007.0
51,marketing data analyst,z1nc,London SW1W•Temporarily Remote,previous experience in a data analyst role.following the development and performing the necessary checks on data.tools of the marketing department.,40000.0
52,risk analyst,Bupa,London,"able to manage complex and a high level of data and information and deliver operationally.within this framework, the erm risk analyst will assist with the…",45000.0
53,data scientist/ analyst,Tortoise Media,London W1T 3LP•Temporarily Remote,enthusiasm for communicating with data and visualising it.refine and improve our data collection and analysis tools.1+ years’ experience working in python.,45000.0
57,data analyst,The Royal College of Anaesthetists,London WC1R 4SG,you will have a background in data analysis and experience in producing reports and creating graphical representations of data.,33250.0
60,data analyst,YourParkingSpace,London E14,"reporting to our head of data, as a data analyst you will have a key role within the team producing data visualisations, compiling reports and analysing the…",40000.0
63,analyst,London Borough of Camden,London,you should be highly numerate and literate and have experience of data analysis and visualisations.as an analyst you will provide insight in order to support…,34033.0
64,research analyst - uk social and economic policy,Ecorys,London EC3R 8AD,"this includes developing research questions and analysis plans, designing and implementing data collection (e.g. surveys), and undertaking statistical analysis …",22250.0
67,analyst - data insights,Legal & General Group Plc.,London,maintaining detailed understanding of all current and future clients’ data and analytics requirements whilst promoting a scalable data service model within the…,40000.0
69,business analyst,Anmut,London SE1,exposure to data and analytics.some coding ability in python or r or experience with data visualisation tools such as powerbi or tableau is a bonus.,30000.0
73,junior analyst,Verisure Services (UK) Limited,London,conduct data cleaning and quality audits to validate that the data collected is accurate.mobilise your data analytics experience to design data-driven…,28000.0
74,assistant research & strategy analyst,L&Q,London•Temporarily Remote,"demonstrable skill or experience in undertaking research projects, market research or detailed data analysis - producing high quality written and verbal reports…",29500.0
81,intelligence analyst,Deltabase,London•Remote,"managing relationships with data providers.improving the speed and efficiency of data acquisition through automation initiatives.by david rowe | nov 30, 2021.",29500.0
85,quant analyst,Fable Data,London SE1 0AT,construct and maintain the library of ground truth data points either using data feeds from financial data providers or from manual collection of data from…,55000.0
90,data analyst,Hertfordshire CC,Hertford,"this will include being able to visualise data (e.g charts, pivot tables, conditional formatting etc), vba skills to automate reporting process would also be…",25481.0
91,data analyst,Eautozon LTD,London W1T•Remote,work with data scientists to build insights based on the data on hand and theme of the study.intermediate data analysis experience and insights generation.,27150.5
92,data quality analyst,Age UK,London,"the ability to solve complex data problems, visualise data sets, and process large sets of data into sql tables.we welcome requests for flexible working.",36000.0
98,data analyst,Twin Group,London,"twin group has several divisions where data is produced in a range of formats, working with the head of mi, administration manager and compliance manager to…",25500.0
99,data insight analyst,Understanding Recruitment,London•Remote,"good knowledge of analysing data sets (sql).as the data insight analyst, you will also have the opportunity to lead on aspects of data analysis aLondon the…",36000.0
102,higher operational research analyst,Home Office,London•Remote,working with historical data and policy assumptions to optimise the future location of frontline staff and office premises to meet projected demand.,34702.5
104,marketing data analyst,AMS,London•Remote,"highly data-driven and technically fluent.experience in driving improvements to data and systems.work with data and analytics to define data flows feeds,…",36016.5
110,sports market analyst,AlgoSports Group,London WC2H,we are looking for a 2021/2022 graduate with strong mathematical and numerical aptitude.a genuine interest in betting and betting markets is required.,68500.0
116,graduate software developer (data + analytics),Qudos Logic,London•Temporarily Remote,your responsibilities will be to help clients build and modify data platforms that support algorithmic trading activities.bachelors degree in computer science.,50000.0
117,principal data analyst - permanent,Comic Relief,London•Temporarily Remote,the principal data analyst is a new role which leads a team of data anlaysts and works closely with data engineers and stakeholders in the use of data modelling…,59470.0
125,2022 uk l6 data analyst degree apprenticeship - london paddi...,Vodafone,London,"and you’ll develop into a data analytics expert who can use a range of analytical techniques, present data visualisation, create reports and make…",21500.0
126,it service desk analyst,University of the Arts London,London,"educated to ‘a’ level or equivalent in maths, computer science or data analytics.the service desk is the first contact for it support for staff and students…",33114.0
127,data analyst (quality),Newmedica,London SE1 6ES,experience as an information / data / finance analyst in the nhs or similar.experience creating content on a data visualisation platform such as power bi or…,35000.0
129,bi analyst,Inclusive Finance,London W10 5AD,"beneficial: scale-up, fintech background, data warehousing experience, negotiating diverse stakeholders, challenging c-level, agile.building out a bi function.",67500.0
132,data and impact analyst,Healthy Teen Minds,London•Remote,developing and refining data specifications.developing robust data collection processes for new projects.developing surveys and data entry forms/templates;,23716.5
140,analyst,GlobalData Plc.,London WC2R•Temporarily Remote,"some experience with data visualization tools, esp.globaldata are looking for a defence analyst to work primarily within the land domain.",32500.0
142,outcomes analyst,Touch Medical Media Services,London•Remote,liaise with external partners who provide the raw data for analysis.carry out the data analysis for moore’s levels 3 and 4 outcomes in a timely and efficient…,25000.0
144,pra diversity and inclusion - data and implementation analys...,Bank of England,London,produce effective data analysis for presentation to seniors and other audiences on a quarterly basis.the primary responsibility of the analyst is to produce…,36000.0
147,"senior insight analyst, product",Head Office,London SW1E 5NN•Remote,"some experience of working as a data or product analyst, ideally at a retailer or e-commerce business.experience of data visualisation tools such as tableau or…",51850.0
157,data analyst,gategroup,London UB7 9FN,"acquire data from data sources and maintain databases.data housekeeping, filter and “clean” data.support on the collection of data for op&c team kpis.",27000.0
168,esg data analyst,MAPP,London W1W 5QZ,"query management related to esg data.excellent knowledge in data management, monitoring and reporting.minimum 3 years of utility and data management in the…",35000.0
171,pricing analyst,The AA,London,"developing robust data sets to ensure data adequacy and accuracy, including working with the financial analysts to support the life-time value models.",35000.0
177,fantastic research analyst opportunity!,Angela Mortimer plc,London,"duties will include supporting the wider team in the delivery of projects, liaising with clients and analysing data from a risk-led perspective, creating…",26000.0
178,data analytics postgraduate apprentice - l7,BBC,London,develop your data and business analytics skills at the bbc while studying for your l7 digital and technology solutions specialist postgraduate degree with queen…,22442.0
181,esg data analyst,hireful,London NW1 4BH,"query management of esg data.excellent knowledge in data management, monitoring and reporting.management of data in regard to voluntary standards - gresb,…",34000.0
184,business analyst in digital transformation,Nemetos,London SE1 1EP•Temporarily Remote,"we create user experiences & design (ux) with data science to deliver new products (websites, intranet, client portals, integrations and commerce) for our…",50000.0
202,product analyst - data scientist,XLN Telecom,London SW1P,"knowledge of common data science techniques including data preparation, exploration and visualisation.you will be an experienced data scientist who enjoys…",40000.0
205,senior data analyst,Boston Hale,London,experience of using xml and json data.experience of using web scraping with python to collect data.they are industry-leading providers of market sizing and…,42500.0
207,technical analyst (data developer),Anmut,London SE1,"competence in wrangling, cleaning and transforming data into a usable form.the role: technical analyst (data developer).monthly 1-on-1 development reviews.",30000.0
208,it business analyst,Roxwell Talent,London EC2Y 8HQ•Temporarily Remote,experience as the lead business analyst through the full project lifecycle incl.creating and maintaining any supporting materials that reinforce or support the…,62500.0
212,data analyst,Respect Consulting Group,London,"the role will involve data analysis of processes and data flows, modelling of new data flows, data integration and enrichment, management of complex data…",57500.0
220,analyst,Give A Grad A Go,London,"ability to gather, process, and analyse data/information.assist with data analysis and gathering research materials that will be utilised in preparing…",37500.0
234,public health analyst,London County Council,London RH2 8EF,you will support advanced analysts and collaborate with other analysts.we place a strong emphasis on data science.this role is fixed-term for up to 12 months.,37314.0
235,leading bi analyst,Webber-Chase,London,"initial work will focus on trends and platform performance, multiple data sets as well as live client data and user information.ba in an analytical field.",62500.0
237,business data analyst,Canon,London,ensure data customer data quality is maintained.adhoc project involvement including using advanced data abilities to streamline existing processes throughout…,45975.0
263,research analyst,Cision,London,"the research analyst is further responsible for drawing insights, trends and conclusions from the data provided by the data analysts.",22600.0
273,marketing data analyst intern,Edenred,London SW1V 2RS•Remote,analysis and use of data in salesforce and integrated industry databases and provide support on salesforce subjects.,18500.0
274,reap bi analyst,Hammersmith & Fulham Council,Hammersmith,to match various different data sources together to provide a holistic view of contact.the reap bi analyst is responsible for producing analytical and…,41106.0
277,principle information analyst,Bristol London and St George's Mental Health...,London SW17 7DJ,provide support as a ‘subject matter expert’ in the determination of trust data and business information system requirements; offering detailed advice on data…,57269.5
278,process performance senior analyst,Head Office,London SW1E 5NN•Remote,"excellent communication, stakeholder management and influencing skills with experience of driving data-driven decision making through clear and accurate…",50700.0
282,senior information analyst,East London NHS Foundation Trust,London E2 9NJ,"you will be exposed to the full cycle of information, collecting data from our new data warehouse in the azure cloud, manipulating and drawing analysis from…",42446.0
283,r&d pricing analyst,The AA,London,"open data, vehicle data, commercial customer and postcode data is important to enhancing our pricing journey.supporting the development of junior analysts.",55000.0
289,data governance analyst,Intuita,London,"you will be required to bring strong foundational technical understanding, ideally from previous hands-on experience within data engineering, data design and/or…",57500.0
291,business analyst,Cobalt Search,London,"managing / interpreting large datasets, in particular of operational, performance, cost and revenue data.supporting the financial development of business cases…",38500.0
303,senior data analyst,Parliamentary Digital Service (PDS),London,"the data and search team consists of data analysts and data engineers who focus on understanding data, providing insights on data, and transformation of data to…",40435.5
318,data analyst,Harnham,London+1 location,ability to translate technical data to be easily understood by non-technical minds.this company is a customer engagement agency with a focus on providing…,55000.0
332,data protection analyst (12 month ftc),Lawrence Harvey,London,data protection analyst (12 month ftc) - large charity.involved in the delivery of a major it transformation.implementing a new data protection programme.,37500.0
334,register business analyst,Financial Conduct Authority,London,"to help facilitate the successful roll-out of the changes that are currently being planned and made to the register, the division’s strategy & implementation…",53000.0
344,junior reward analyst,Jupiter Management Consultancy (JMC),London,strong data analysis and confidence to manipulate large volumes of data.a key client of jupiter management consultancy is looking for an enthusiastic junior…,37500.0
346,construction data / insights analyst,Capstone Recruitment,London,experience of interpreting cost data analytics.capstone have partnered with a privately owned construction cost consultancy who prides itself on their world…,72500.0
350,data analyst apprentice,QA Apprenticeships,London W6 9BW,analytical and data orientated approach.working with the support desk to provide clients with data reports and accurate and comprehensive answers to data…,13000.0
352,graduate business analyst,Signature Recruitment Ltd,London EC2M,"managing / interpreting large datasets, in particular of operational, performance, cost and revenue data.writing and contributing to the delivery of documents…",27500.0
353,information analyst,British Association of Dermatologists (BAD),London W1T•Temporarily Remote,contact trusts to clarify anomalies identified from a variety of data sources (e.g. reference costs/hes data).produce ad hoc reports and analysis as required.,27000.0
358,school data analyst,Qin Recruitment Ltd,London,the data analyst is expected to bring a modern approach to the school data function by focussing on data being an effective tool to help drive performance…,32000.0
362,chief analyst,NHS Birmingham and Lancashire Commissioning Support...,London SE1 6LH,"you will want to improve decision quality aLondon the nhs, and be a champion of professionalising nhs data analysis.extra annual leave purchase/selling.",84289.5
